,svm,randomforest,knn
acc,0.9661016949152542,0.9576271186440678,0.9576271186440678
sen,0.95,0.9333333333333333,0.95
spec,0.9827586206896551,0.9827586206896551,0.9655172413793104
mcc,0.9327586206896552,0.9164870767301782,0.915385729888094
f1_score,0.9661016949152542,0.9572649572649572,0.957983193277311
